simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
hello,hello,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,332.05814
hello,hello,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
hello,hello,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,4.3205814
hello,hello,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,3.3205814
hello,hello,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,-364.61874
hello,hello,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,-1176.8606
hello,hello,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
hello,hello,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,-1030802.9
hello,hello,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-1126525.9
hello,hello,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-7789.7178
hello,hello,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
hello,hello,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,-490649.00
hello,hello,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-497029.59
hello,hello,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,2012.5757
